user_id,timestamp,sentence,categories,type,evaluation.timely,evaluation.relevance,evaluation.high-level,evaluation.specificity,evaluation.justification,evaluation.active,evaluation.sentiment
1.0,2024-08-12 6:31:38,학생증을 사용해서 에어컨과 전등을 제어한다는 것이 구체적으로 어떻게 진행되는 것인가요?,Question,Low-Level,5.0,6.0,2.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:32:38,대학교 기숙사를 대상으로 한 서비스인가요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:33:08,학생증을 잘 가지고 다니지 않거나 분실한 학생들은 어떻게 해야하나요?,Question,Generate Design,6.0,7.0,5.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:33:34,저는 실제로 지금 학생증을 분실했는데 한달정도 재발급을 하지 않고있어요.,Statement,Information,,,,5.0,4.0,3.0,0
1.0,2024-08-12 6:34:47,필요성을 못느끼기 때문이죠.,Statement,Information,,,,4.0,4.0,2.0,0
1.0,2024-08-12 6:35:12,이 서비스는 학교에게는 큰 도움이 되겠지만 학생들에게는 동기부여하기 힘들 것 같아요.,Statement,Evaluation,,,,5.0,5.0,4.0,-1
1.0,2024-08-12 6:35:42,분실한 학생이 재발급하면서까지 이 서비스를 이용해야하는 이유가 무엇이죠?,Question,Deep Reasoning,5.0,5.0,5.0,,,,0
1.0,2024-08-12 6:36:30,어느정도의 할인일까요?,Question,Low-Level,5.0,4.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:37:20,전기절감률은 어떻게 측정되나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:38:19,그렇다면 기존에 쓰던 전력량과 서비스를 시행한 후 쓰는 전력량을 비교하여 각 방별로 전기절감률을 계산하는 것인가요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:38:56,학생들이 오히려 돈을 더 냈으니 전기를 더 막써도 된다는 식으로 생각할 수도 있을 것 같아요.,Statement,Evaluation,,,,5.0,5.0,4.0,-1
