user_id,timestamp,sentence,categories,type,evaluation.timely,evaluation.relevance,evaluation.high-level,evaluation.specificity,evaluation.justification,evaluation.active,evaluation.sentiment
1.0,2024-08-12 6:07:39,입양대상이 되는 동물은 무엇이 있나요?,Question,Low-Level,5.0,4.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:08:55,유기된 동물들을 위주로 진행하나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:09:22,"입양대상이 되기 전 대상 동물들은 어떻게 보호, 관리되나요?",Question,Low-Level,5.0,4.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:09:57,"입양 희망자의 자격을 평가하는 것이 주 서비스인 것 같은데,",Statement,Evaluation,,,,5.0,4.0,3.0,0
1.0,2024-08-12 6:11:26,"희망자들이 경제적 능력 평가, 가정방문 평가 등의 과정에서 기분이 나빠지거나 과하다고 생각하지는 않을까요?",Question,Deep Reasoning,5.0,5.0,5.0,,,,0
1.0,2024-08-12 6:12:15,"반려동물을 키울 때 경제적 능혁, 동물에 대한 이해도가 꼭 필요하다는 사실이 일반 대중에게 잘 알려지지 않은 것 같아요.",Statement,Evaluation,,,,5.0,5.0,4.0,0
1.0,2024-08-12 6:12:17,입양 희망자에게 이런 사실을 알려주는 단계도 있나요?,Question,Low-Level,5.0,5.0,2.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:13:14,반려동물을 키워보지 않은 사람들도 한번에 납득할 수 있게 공신력 있는 자료와 함께 설명하면 좋을 것 같아요.,Statement,Recommendation,,,,5.0,5.0,5.0,1
1.0,2024-08-12 6:13:54,또한 평가자가 충분히 전문성 있는 사람인지도 보여주어야 할 것 같아요.,Statement,Recommendation,,,,4.0,4.0,4.0,1
1.0,2024-08-12 6:15:19,계약서는 어떻게 구성되어있나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:16:09,법적 효력이 있는 계약서인가요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:16:11,법적 효력이 있다면 입양 희망자가 큰 부담을 느낄수도 있을 것 같아요.,Statement,Evaluation,,,,5.0,5.0,4.0,-1
1.0,2024-08-12 6:18:04,왜 법적효력이 있도록 하고싶은 거죠?,Question,Deep Reasoning,5.0,5.0,5.0,,,,0
1.0,2024-08-12 6:18:56,정기방문에 대해서도 이야기해보고 싶어요.,Statement,Evaluation,,,,4.0,3.0,3.0,0
1.0,2024-08-12 6:19:14,정기 방문은 누가 주체가 되는 것인가요?,Question,Low-Level,4.0,5.0,1.0,,,,0
