타임스탬프,참가자 번호,해당 시스템을 통해 아이디어를 피드백 하는 것이 재미있었다. ,해당 시스템을 통해 아이디어를 피드백 하는 것은 쉬웠다.,앞으로도 해당 시스템을 통해 피드백을 연습하고 싶다.,해당 시스템의 사용하여 피드백 하는 것은 많은 인지부하(cognitive load)를 필요로 했다.,해당 시스템을 통해 디자인 아이디어의 피드백을 주는 것이 실제 디자인 아이디어의 피드백을 주는 경험과 유사하다.,해당 시스템의 학생(멘티)은 실제 디자인과 학생 같았다.,해당 시스템에서 학생(멘티)와의 대화가 기존에 생각지 못한 피드백을 떠올리도록 영감을 주었다.,해당 시스템이 내가 피드백을 잘 제공하고 있는지 인지하는데 도움이 되었다.,나의 피드백을 통해 학생(멘티)의 아이디어가 개선되었다.,해당 시스템을 사용하고 나의 피드백 제공 실력이 향상되었다.
2024. 8. 12 오후 3:55:24,1,5,1,6,5,2,2,2,3,5,5
2024. 8. 12 오후 2:05:53,2,5,3,4,4,6,3,5,4,5,4
2024. 8. 16 오후 2:02:22,3,7,5,6,3,7,7,4,3,5,5
2024. 8. 14 오후 1:52:15,4,6,6,6,6,6,6,6,5,5,6
2024. 8. 16 오후 6:03:29,5,6,6,7,3,6,5,7,5,6,6
2024. 8. 14 오후 3:55:26,6,7,5,7,6,6,3,7,4,6,7
2024. 8. 12 오후 12:07:32,7,6,5,4,3,6,5,5,2,6,6
2024. 8. 13 오후 2:11:49,8,4,2,6,6,6,6,2,4,4,3
2024. 8. 13 오전 9:58:59,9,5,6,5,5,5,4,6,3,7,3
2024. 8. 12 오후 10:00:10,10,5,2,5,7,7,5,4,3,4,4
2024. 8. 12 오후 6:07:01,11,4,4,5,6,5,4,4,2,5,6
2024. 8. 13 오후 9:59:44,12,6,3,5,4,5,4,6,4,7,5
2024. 8. 14 오후 9:33:51,13,7,3,7,6,6,6,6,3,5,3
2024. 8. 13 오후 5:42:39,14,7,7,7,1,7,7,6,6,7,7
2024. 8. 16 오후 3:36:12,15,7,6,5,3,6,5,5,4,6,4
2024. 8. 15 오후 3:08:38,16,6,5,6,2,3,3,5,6,7,6
2024. 8. 13 오전 11:31:11,17,6,7,5,5,6,6,5,3,6,5
2024. 8. 12 오후 7:38:06,18,7,4,6,1,1,2,1,4,7,5
2024. 8. 15 오후 7:39:53,19,6,6,7,1,7,3,3,4,6,5
2024. 8. 14 오후 7:35:54,20,7,3,6,4,6,6,4,3,6,4
2024. 8. 15 오전 9:43:36,21,6,3,6,6,4,2,7,3,7,6
2024. 8. 14 오전 9:34:01,22,6,6,6,2,6,6,6,5,6,6
2024. 8. 15 오후 1:35:51,23,5,5,6,6,7,5,3,5,3,4
2024. 8. 13 오후 3:34:41,24,5,6,4,3,6,5,6,2,3,6
