타임스탬프,참가자 번호,해당 시스템을 통해 아이디어를 피드백 하는 것이 재미있었다. ,해당 시스템을 통해 아이디어를 피드백 하는 것은 쉬웠다.,앞으로도 해당 시스템을 통해 피드백을 연습하고 싶다.,해당 시스템의 사용하여 피드백 하는 것은 많은 인지부하(cognitive load)를 필요로 했다.,해당 시스템을 통해 디자인 아이디어의 피드백을 주는 것이 실제 디자인 아이디어의 피드백을 주는 경험과 유사하다.,해당 시스템의 학생(멘티)은 실제 디자인과 학생 같았다.,해당 시스템에서 학생(멘티)와의 대화가 기존에 생각지 못한 피드백을 떠올리도록 영감을 주었다.,해당 시스템이 내가 피드백을 잘 제공하고 있는지 인지하는데 도움이 되었다.,나의 피드백을 통해 학생(멘티)의 아이디어가 개선되었다.,해당 시스템을 사용하고 나의 피드백 제공 실력이 향상되었다.
2024. 8. 12 오후 3:31:13,1,7,2,7,2,3,3,6,7,6,5
2024. 8. 12 오후 1:41:53,2,6,5,5,4,5,3,5,4,5,4
2024. 8. 16 오후 1:38:35,3,7,5,7,6,7,7,6,7,6,5
2024. 8. 14 오후 1:28:23,4,7,7,7,5,7,6,6,6,7,6
2024. 8. 16 오후 5:39:21,5,5,5,6,5,3,5,3,5,6,3
2024. 8. 14 오후 3:32:49,6,7,6,7,5,7,5,7,7,7,7
2024. 8. 12 오전 11:46:51,7,7,6,4,3,4,4,7,6,6,5
2024. 8. 13 오후 1:47:31,8,7,6,7,4,6,5,4,6,6,6
2024. 8. 13 오전 9:34:52,9,6,5,5,5,5,6,5,6,6,4
2024. 8. 12 오후 9:36:10,10,7,3,7,3,6,4,7,7,6,6
2024. 8. 12 오후 5:43:19,11,6,7,5,6,7,6,6,5,6,6
2024. 8. 13 오후 9:38:57,12,6,5,6,2,5,4,5,6,7,5
2024. 8. 14 오후 10:01:08,13,7,5,7,7,7,7,7,6,6,4
2024. 8. 13 오후 6:08:54,14,7,7,7,2,7,6,7,7,7,7
2024. 8. 16 오후 3:58:20,15,7,5,5,5,4,5,4,5,6,6
2024. 8. 15 오후 3:32:32,16,7,4,6,2,4,3,6,7,6,6
2024. 8. 13 오전 11:54:41,17,7,7,6,5,6,6,7,6,6,6
2024. 8. 12 오후 8:02:49,18,7,7,6,1,4,5,7,6,7,6
2024. 8. 15 오후 8:03:00,19,7,6,7,1,6,5,6,7,6,6
2024. 8. 14 오후 8:00:16,20,6,5,6,5,7,6,4,6,7,6
2024. 8. 15 오전 10:07:08,21,6,4,6,3,5,3,6,6,6,7
2024. 8. 14 오전 9:57:54,22,6,6,6,1,6,6,6,6,6,6
2024. 8. 15 오후 1:58:29,23,6,6,7,7,7,6,7,4,6,6
2024. 8. 13 오후 3:57:48,24,6,6,4,3,7,7,6,6,7,7
